authors,text
2,"Subject:RE: Book request #B-JAN09-3-ST-7Kam - Cheryl was able to use the short-name ""PERFORMANCE"".  Please disregard my e-mail.  I will notify you when they're set up in ERMS."
2,Subject:RE: Book request #B-JAN09-3-ST-7The books have been created in GCP per your request.
2,Subject:Book request #B-JAN09-3-ST-7Please set up the books on the attached book request form and notify me when complete.  Contact me if you have any questions.
2,"Subject:RE: Coral - 5/01 Deficiency ChargesIt is on PG&E, so I think it is yours.  Let me know."
2,"Subject:RE: Coral - 5/01 Deficiency ChargesScott,"
2,"Subject:RE: Coral - 5/01 Deficiency ChargesSuzanne,"
2,"Subject:Coral - 5/01 Deficiency ChargesSuzanne,"
2,"Subject:RE: terminated vs non-terminated - updated attachmentHere is an updated version of the template, it should be easier to use as you have all split out your books into 3 (terminated by the counterparty, not being fulfilled, and active).  Again, this should be as of positions held today.  Based on my discussions with you so far, it looks like this is doable by the end of next week."
2,"Subject:terminated vs non-terminated - requestNow that we have almost all of the Form A information , E&Y needs form B filled out for all commodities.  We would like to have this as of the deals on 1/31/02."
2,Subject: FW: EWS DPRCould you please add me to this distribution list for any issues regarding the DPR?
2,Subject: FW: EWS DPRCan you have Chris add you to this list?
2,Subject: EWS DPR
2,Subject: RE: Valero at Enron Job Fair on Friday
2,"Subject:RE: Follow up to Jan 29 meetingDear Scott,"
2,"Subject:Follow up to Jan 29 meetingShona,"
2,"Subject:RE: new org regionsKam,"
2,Subject:new org regionsCan you please change the org regions for the attached books.
2,Subject: RE: Book2.xlsWill do. Please send me your location in ecn.
2,"Subject:RE: Bankruptcy post-id's I will do it Wed and Thursday.  Kam and I will be out Friday, can someone else do it then?  We are supposed to email the post-id's to Debbie Bracket correct?PL"
2,Subject:Bankruptcy post-id's I started calculating the bankruptcy book last night for the credit group.  This needs to be done nightly.  I may be out a few days so if I am can someone else take this over from me please?  We can also use these to check daily for counterparties that have been moved incorrectly.
2,Subject:Can I get a copy of the curves we plan on trading in NETCO.  Please make it as comprehensive as possible as we need to make sure all are mapped.
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,"Subject:Contact InfoHello folks,"
2,"Subject:TESTING OF (FW: Netco(UBSWenergy) Excel Conversions)Hello Randy & James,"
2,"Subject:Netco(UBSWenergy) Excel ConversionsHello again,"
2,Subject:RE: book requestKam - sorry for the late response but I was on vacation yesterday.  Attached is a blank book request form.  Please let me know if you have any questions.
2,"Subject:book requestSusan,"
2,"Subject:Questionable DealsI am reviewing the accrual, and have found a number of deals so far that look like they were terminated, but the demand charges/triggers are still in Sitara.  Should these be zeroed out as well, or are we really supposed to bill them?  I haven't made it through the whole list, but here's what I've seen so far that I'm questioning.  Please let me know today if possible.  Also, if I've left anyone off that needs to see this, please let me know.  Thanks. << File: Accrual200112.xls >>"
2,"Subject:RE: Then who is my strongest person? I do not know anything about Kristen. I prefer at least one aggressive person on the desk, Monte and Ashley are kind of shy."
2,"Subject:Scott,"
2,Subject: Daughters and Fathers.. 22027
2,"Subject:RE: risktracNo, they are not.  Risktrac DB not set up for NETCO.  Jeff just talked to me.  He wants it all done by Friday.  Will do.  Just can't take excuses anymore from idiots and need to go around them."
2,"Subject:risktracDo you know if all of our books are set up and ready to go in risktrac, ready to report VaR?"
2,Subject:RE: new booksTwo people will be setting curves for basis.  Keith Holst for CA curves and Frank Ermis for Rockies and Southwest curves. I will be setting curves for balance of the month.
2,"Subject:new booksMike,"
2,Subject:Zach McCarrollCan you get together with Zach on Thursday or Friday and walk him through a simple book.  Take Jane Tholt's book and discuss Risk 101.
2,"Subject:RE: New Books for NETCOCheryl,"
2,"Subject:New Books for NETCOHi Kam,"
2,"Subject:new booksCheryl,"
2,"Subject:TXU Energy Trading CompanyKam,"
2,"Subject:RE: New list of Financial Nat Gas TerminationsHi Kim,"
2,"Subject:New list of Financial Nat Gas TerminationsAttached is the new list of Financial Nat. Gas deal terminations by Counterparty.  Please move all Financial Natural Gas transactions for the relevant Counterparties on the attached list to the Bankruptcy Book.  Again, I have included the CP ID's for your reference.  Please let myself and Jeff Gossett know when the move has been completed.  Please call with any questions."
2,Subject:bankruptcy post-id'sPost id's for today
2,Subject: FW: Something to try
2,Subject: FW: Something to try
2,"Subject: Request for more calcsKam,"
2,"Subject: Trader/Book Associations for New Risk BooksHi Kam,"
2,"Subject:RE: West Gas Roll Out PlanIt would be total exposure, physical and financial, for gas, and then power separately, if you have access to that.  If not, forget power.  The date would be as of our bankruptcy, (Dec. 2nd?).  What did we owe them that we are not going to pay them?  What is our future exposure (MTM) as of now? (For a summer 2002 swap, for example.)  and what do they owe us if we haven't been paid?  We just need to be aware of how things ended with Enron so we can discuss it when we knock on their door as UBS."
2,"Subject:RE: West Gas Roll Out PlanKim,"
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,Subject:RE: gas daily curve mappingsCan you specify which gas daily curve mappings.
2,"Subject:FW: gas daily curve mappingsI think she is referring to the egs_gas_daily_pub_mp table accessed from runm->Import Gas Dly->Edit Mapping screen,although I could be wrong - please have someone work with her - thanks."
2,Subject:gas daily curve mappingsQuestion:
2,Subject:FW: Deals to be moved to Bankruptcy Books (From Russell's Exposure Report)what is the time line for having these deals killed.
2,"Subject:Deals to be moved to Bankruptcy Books (From Russell's Exposure Report)The attached deal list are the deals behind those contracts, for those deals that are currently not included in the bankruptcy books. Please note that there are still several deals that I am trying to reconcile back to Sitara numbers. Assuming that I can do so, I will send supplemental information tomorrow afternoon."
2,Subject:Kam -
2,"Subject:Updated backoffice users - ubswenergyKam,"
2,Subject: FW: Something to try
2,Subject: FW: Something to try
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,Subject:Estate Group List Here you go...
2,Subject:RE: DenverNo Denver region.  The book was named after the office.  We can change the name and it will be a part of the west.
2,"Subject:DenverMike,"
2,"Subject:Coral Energy DealsKam,"
2,Subject:RE: new org regionsAll regions have been created and changed in estermtp database.
2,Subject:new org regionsCan you please change the org regions for the attached books.
2,"Subject:Z,"
2,"Subject:RE: West Gas Roll Out PlanKam,"
2,"Subject:RE: West Gas Roll Out PlanThanks,"
2,"Subject:RE: West Gas Roll Out PlanIt would be total exposure, physical and financial, for gas, and then power separately, if you have access to that.  If not, forget power.  The date would be as of our bankruptcy, (Dec. 2nd?).  What did we owe them that we are not going to pay them?  What is our future exposure (MTM) as of now? (For a summer 2002 swap, for example.)  and what do they owe us if we haven't been paid?  We just need to be aware of how things ended with Enron so we can discuss it when we knock on their door as UBS."
2,"Subject:RE: West Gas Roll Out PlanKim,"
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,Subject:FW: Netco Sitara AccessI still need a list of people who need Netco Sitara access for the East and Central Regions.
2,"Subject:Netco Sitara AccessSecurity access for the ""Estate"" will be the same as Production currently is.Access for ""Netco"" will have to be set up from scratch."
2,Subject:Verifying Regional LeadsI believe I missed the meeting when Netco duties were discussed.
2,"Subject:RE: Book template: trading locations - OKKam,"
2,"Subject:Book template: trading locationsRamesh, can the following trading locations be added to the list of selectable locations?"
2,Subject:risk pma log - novemberHi!
2,"Subject:CounterParty Name ChangeKam,"
2,"Subject:Update on Schedule A for Ernst and YoungRaj,"
2,Subject:FW: general update on DPR - ENA portionfill me in on the issue.  do they just not believe your numbers/
2,Subject:RE: general update on DPR - ENA portionthanks
2,"Subject:general update on DPR - ENA portionDear Jim & Barry,"
2,"Subject:RE: Nov. 2001 Price DiscrepancyGenaro, we restructured the deal effective with November deliveries.  I have a copy of the document if you need it.  Phillip Love and Kam Keiser are familiar with the deal if they can help.  The customer is correct in their pricing."
2,"Subject:Nov. 2001 Price DiscrepancyFrank/Scott,"
2,"Subject:""Best Practices"" Meeting - Tuesday, Feb. 5Importance:High"
2,"Subject:This is what Jeff gave them for the terminated deals.  I need the values by month for gas only.  They asked for positions but that will be much harder, if you can get anything like that I can use it."
2,"Subject: RE: Request for more calcsKam,"
2,"Subject: RE: Request for more calcsWe will get you the FT-Ontario and Intra-Ontario.  Please call Brian Gillis in Canada for the FT-Canada book.  Do you know what the full name for FT-US-Can is, that name doesn't exist in TAGG."
2,"Subject: Request for more calcsKam,"
2,"Subject:WestWe have just decided to divide the western region into two groups.  I will be heading up the Rockies/NW and Northern California, while Phillip Allen heads up the Southwest and Southern California.  Think about whether or not you  would like to change how you serve our groups going forward.  We will need to divide the curve files to reflect the separate regions.  The Southwest will be defined as EP SJ and EP Permian.  P&L summary reports will be separated into two groups."
2,"Subject:RE: RAC websiteKam,"
2,Subject:RAC websiteWe need to add the RAC website to our list of programs to be moved over with Netco.
2,"Subject:Power database, DprAutomation/Var Report and PC's settingImportance:High"
2,Subject: FW: Common Data Migration for NetcoKam -
2,Subject: Common Data Migration for Netco
2,Subject:FW: Netco curvesI forgot to attached the excel spreadsheet.
2,"Subject:FW: Netco curves From: Keiser, Kam"
2,"Subject:Netco curvesZ,"
2,"Subject:Heads upHey Gang,"
2,"Subject:Trader Log InKam,"
2,Subject:FW: TXU Contract Termination DatesCan you handle this?
2,"Subject:FW: TXU Contract Termination DatesI am forwarding Harlan's schedule of termination dates for TXU.  Please calculate our MTM values on those dates as soon as you can, and forward them to me.  Thank you. "
2,Subject:TXU Contract Termination DatesGive me a call if you have any questions.  I guess the next step is to clean up a few items on the attached spread sheet and then assign a value to each contract.  We need to come up with a plan for factoring in LDs with the MTM exposure.
2,"Subject: RE: New Books - Natural GasJohn,Kam,"
2,Subject: RE: New Books - Natural GasFYI - The books are already created in Erms (Netco) and we don't have a field to activate or inactivate books.  Please advise the users not to use the inactive books.
2,Subject:FW: New Books - Natural GasThis may help.
2,Subject:New Books - Natural GasAttached you will find the new books that have been set up for UBS Energy.  There are some books that do not have a trader name attached.  These books will be inactive until a trader is assigned at a later date.  Please let me know if you have any questions.
2,Subject:ReportsImportance:High
2,Subject:FW: Internal Non-TradersPlease review the attached spreadsheet for Internal users within your area and let me know if any changes need to be made.
2,Subject:RE: broker quotesare we saving the files out there everyday?  do the traders do/know this?
2,Subject:broker quotesThe files for the broker quotes have been moved from the Netco file to O:\erms\1intra\broker quotes.  Those will be used for the estate.
2,Subject:Joe Belton????Is that his name???
2,Subject:Gas Books << File: Summary of Book Requests Update.xls >>
2,Subject:RE: book requestsAccess has been granted to the users listed.
2,Subject:RE: book requestsThank you.
2,Subject:RE: book requestsAll books have been set up in Tagg/Erms.  Please provide the Unix login ids of the users who need access to the books.  Call me if you have any questions
2,Subject:book requestsAttached are the book requests for the NetCo. books.  They have already been set-up in Global Counterparties.
2,Subject: FW: Part 6 - deals to move
2,Subject: RE: Part 6 - deals to move
2,Subject:        RE: Part 6 - deals to move Sorry..........
2,Subject:        RE: Part 6 - deals to move This is missing an attachment I think.
2,"Subject:        Part 6 - deals to move Jeff,"
2,Subject:risk pma log - novemberHi!
2,Subject:Zach McCarrollCan you get together with Zach on Thursday or Friday and walk him through a simple book.  Take Jane Tholt's book and discuss Risk 101.
2,"Subject:fyiFyi,"
2,"Subject: Request for Bankruptcy Book ValuesKam,"
2,"Subject: FW: Book2.xlsKam,"
2,Subject: RE: Book2.xlsI am on the 5th floor.  05156.
2,Subject: RE: Book2.xlsWill do. Please send me your location in ecn.
2,Subject:FW: Access to Netco ApplicationsImportance:High
2,Subject:Access to Netco ApplicationsImportance:High
2,Subject: Book DPR rec fileImportance: High
2,"Subject:estate filesHere are the files that use ERMS that the estate will be using.  Some of these directories will have files that are saved with a new name daily, you can pick the latest date to change."
2,"Subject:Meeting to discuss what estate data needs to remain in Netco (ie price curve data)..When:Monday, January 28, 2002 3:00 PM-4:00 PM (GMT-06:00) Central Time (US & Canada).Where:EB 2556"
2,Subject:BOOK REQUEST #B-JAN09-3-ST-7The attached book request is complete.  Please contact me if you have any questions.
2,Subject: RE: Book2.xlsWill do. Please send me your location in ecn.
2,"Subject:Gas Books - found some small duplicates in the spreadsheetKam, John, we found a few book_id name issues while trying to batch-load the books."
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,Subject:RE: New NETCO booksAre you going to handle this?PL
2,"Subject:RE: New NETCO booksIf the central books have 2 set up then I'll leave MC assigned to GD and we need another set of central books set up for P/B/I.  Please have the new books set up in Global first (with new book codes, not MC) then email me the new IDs, book names, book codes and region codes."
2,"Subject:RE: New NETCO booksThe West books should be GD and GDY for Canadian deals.  I would think that the central books should have two set up, one for P/B/I and one for GD.  I believe I had called you and said that the books should be set up like FT-ONT-GDL for the gas daily books.  This is correct.  Thanks.PL"
2,"Subject:New NETCO booksPhillip/Kam,"
2,Subject:FW: Internal Non-TradersPlease review the attached spreadsheet for Internal users within your area and let me know if any changes need to be made.
2,Subject:FW: UBS curvesKam:
2,Subject:FW: UBS curvesWhat's the status Jeremy.....?
2,"Subject:RE: UBS curvesSteve,"
2,"Subject:FW: UBS curvesJeremy,"
2,"Subject:UBS curves Zhiyong,"
2,Subject:RE: book requestsAll books have been set up in Tagg/Erms.  Please provide the Unix login ids of the users who need access to the books.  Call me if you have any questions
2,Subject:book requestsAttached are the book requests for the NetCo. books.  They have already been set-up in Global Counterparties.
2,Subject:RE: EOL accessYou will have access soon - Stephanie will send you your ID's and passwords.
2,"Subject:EOL accessTom,"
2,"Subject:RE: West Gas Roll Out PlanIt would be total exposure, physical and financial, for gas, and then power separately, if you have access to that.  If not, forget power.  The date would be as of our bankruptcy, (Dec. 2nd?).  What did we owe them that we are not going to pay them?  What is our future exposure (MTM) as of now? (For a summer 2002 swap, for example.)  and what do they owe us if we haven't been paid?  We just need to be aware of how things ended with Enron so we can discuss it when we knock on their door as UBS."
2,"Subject:RE: West Gas Roll Out PlanKim,"
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,Subject: RE: Your AddressIs Kelly doing structuring over there or is it a risk job? Any details on the weather guy(s) walkout?  Sounds like a good opportunity but why did they all leave?  I wonder if they're starting up their own consulting company? I have a few things presently in the works. I'm hoping to touch base with Scott N. sometime today. Too bad I couldn't make a living by being a frequent job switcher.  I could be good at that.  Things would be a hell of a lot easier if I was willing to take a job out of state.  Lots available elsewhere..
2,"Subject: RE: Your Address>>>Hi Kam,"
2,"Subject: Your Address>>>>>>Hi Kam,"
2,"Subject: FW: Book2.xlsKam,"
2,"Subject: FW: Book2.xlsRamesh,     I told her that it is O.K to change the name."
2,"Subject: RE: Book2.xlsCould we change the gas daily intra-month and index to GDM and GDY, rather than GDL and GDX.  Tell me how much trouble that is to change.  IT also made some changes to the physical org region names.  I will have to get you those changes."
2,Subject: Book2.xlsThis is a list of RisktRAC book-ids corresponding to what has been created in ERMS. Let me know if the book-id naming is ok with you.
2,Subject:SAP Profit Center NumbersPlease respond to me with your Enron SAP Profit Center numbers.  It will help me in putting the budget together.  Thanks.
2,Subject:FW: TXU Contract Termination DatesPlease let me know where we stand on this.
2,"Subject:RE: TXU Contract Termination DatesIf possible, please forward these MTM values to me by the end of the day.  I'd like to get back together for a short meeting tomorrow to discuss the values and make plans for next steps.  Tina Holcombe will send out an email for meeting time later today.  Thanks."
2,"Subject:FW: TXU Contract Termination DatesI am forwarding Harlan's schedule of termination dates for TXU.  Please calculate our MTM values on those dates as soon as you can, and forward them to me.  Thank you. "
2,Subject:TXU Contract Termination DatesGive me a call if you have any questions.  I guess the next step is to clean up a few items on the attached spread sheet and then assign a value to each contract.  We need to come up with a plan for factoring in LDs with the MTM exposure.
2,"Subject: Dec. 31Kam,"
2,Subject:RE: new org regionsAny updates on these issues?  Need to have the Canada P/B/I books details and also which book is for future and options.  We need this info before we can set up books in Netco production database.
2,"Subject:RE: new org regionsKam,"
2,Subject:new org regionsCan you please change the org regions for the attached books.
2,"Subject:gas informationKristin,"
2,"Subject: RE: Your AddressHi Kam,"
2,"Subject: Your Address>>>Hi Kam,"
2,Subject:FW: terminated vs non-terminated - requestEnjoy.
2,"Subject:terminated vs non-terminated - requestNow that we have almost all of the Form A information , E&Y needs form B filled out for all commodities.  We would like to have this as of the deals on 1/31/02."
2,Subject:1476355147635614763571476379147636414763651476382147636614763671476383147638614763891476390
2,"Subject: RE: We made the big timeHey,"
2,Subject:FW: We made the big time> >
2,Subject: FW: We made the big time> > >
2,Subject: FW: We made the big time> > >
2,Subject:RE: risktrac downloaddo you have anything with some current information to see what should be entered into each column?!
2,"Subject:risktrac downloadCasey,"
2,"Subject:RE: Book request #B-JAN09-3-ST-7Kam - Cheryl was able to use the short-name ""PERFORMANCE"".  Please disregard my e-mail.  I will notify you when they're set up in ERMS."
2,Subject:RE: Book request #B-JAN09-3-ST-7The books have been created in GCP per your request.
2,Subject:Book request #B-JAN09-3-ST-7Please set up the books on the attached book request form and notify me when complete.  Contact me if you have any questions.
2,Subject:FW: Netco(UBSWenergy) Excel ConversionsFYI:
2,"Subject:Netco(UBSWenergy) Excel ConversionsHello again,"
2,"Subject:west region splitting in twoFYI - the west is wanting to split the region into two regions.  Stephen, I know you have been working on mapping the P&Ls for reporting purpose, the attached file breaks down those two regions.  We want to call then Southwest and Northwest.  They will be headed by Phillip Allen and Mike Grigsby respectively.  Please let me know if you have any questions.  Thanks.PL"
2,"Subject:Access to UBS applicationTo prepare for the simulation test that will run this week, can you please make sure the necessary people in your group have the appropriate access to the UBS application to perform their job function.  For example, I know that the Reports application was used by most groups and that the risk groups also used the Bridge Monitor application."
2,"Subject: My ResumeHi Kam,"
2,"Subject:Gas Daily DealsJust wanting to verify that we are going to continue the ""funky"" way of booking gas daily deals (ie 2 legs and 4 legs)."
2,Subject:RE: new book reqAre any of you still around?  I need to talk to one of you about this request.
2,Subject:FW: new book reqFYI
2,"Subject:RE: new book reqSusan,attached is a new matrix for each desk.  This should replace the previous matrix you are using.  We are just putting our groups down in the access request list and this should be used to cross reference.  Please let me know if you have any questions.  Thanks."
2,"Subject:new book reqSusan,"
2,"Subject:RE: ECC - Riskmantra counterpartiesBrian,"
2,"Subject:RE: ECC - Riskmantra counterpartiesDawn,"
2,"Subject:ECC - Riskmantra counterpartiesKam, Kathy and Brian,"
2,"Subject:RE: EOL test tradesMelba and I tested 4 more deals today..2 power and 2 gas.  I am attaching the transaction summary for your review.  Again, we are using the Dynegy counterparty name for testing purposes  Please verify that everything is flowing correctly to the downstream systems."
2,Subject: FW: EWS DPRCan you have Chris add you to this list?
2,Subject: EWS DPR
2,Subject: NetcoAll -
2,"Subject:RE: ECC - Riskmantra counterpartiesDawn,"
2,"Subject:ECC - Riskmantra counterpartiesKam, Kathy and Brian,"
2,Subject:FW: terminated vs non-terminated - requestEnjoy.
2,"Subject:terminated vs non-terminated - requestNow that we have almost all of the Form A information , E&Y needs form B filled out for all commodities.  We would like to have this as of the deals on 1/31/02."
2,Subject:RE: Thank You.  What is PBI??
2,Subject: << File: JARON.xls >> I got the Goldman counterparty names from Bill Hare and I have found 0 deals with them.
2,Subject:In-the-money tradesThis request is saved in O:\_dropbox\Kam\In-the-money trades\Summary.xls.  The file is too large to attach. It reflects all active in-the-money trades in our books as of last night.
2,"Subject:RE: estate bookthanks.  Also, is there a list of gas people (front, middle & back office) that will remain with the estate?"
2,Subject:RE: estate bookThere are a few deals that we have agreed to perform on 100% and Ed McMichael needs to be able to value those deals separately.
2,"Subject:RE: estate bookDear Kam,"
2,"Subject:estate bookSusan,"
2,Subject:RE: West Gas Roll Out PlanKam - there is no attachment on my Email.  Can you resend with the attachment to Tom McFatridge?  Thanks.
2,Subject:FW: West Gas Roll Out PlanCan I get your help on the following request?  We need to find out what receivables/payables for financial and physical deals we have outstanding with the attached counterparties that we don't plan on settling.
2,"Subject:RE: West Gas Roll Out PlanIt would be total exposure, physical and financial, for gas, and then power separately, if you have access to that.  If not, forget power.  The date would be as of our bankruptcy, (Dec. 2nd?).  What did we owe them that we are not going to pay them?  What is our future exposure (MTM) as of now? (For a summer 2002 swap, for example.)  and what do they owe us if we haven't been paid?  We just need to be aware of how things ended with Enron so we can discuss it when we knock on their door as UBS."
2,"Subject:RE: West Gas Roll Out PlanKim,"
2,"Subject:FW: West Gas Roll Out Plan From: Tycholiz, Barry"
2,"Subject:West Gas Roll Out PlanKim, as part of the roll out plans we will need a summary report of the close out values for these customers.  Can you coordinate with credit, including the utilization of an analyst ( if you can find one). to complete this list."
2,Subject:What about this too??? << File: Netco Trader Matrix.xls >>
2,Subject:November 30 Officialized Post ID'sHere is the Post ID's that we officialized on November 30th.  Call me if you have any questions.
2,"Subject:RE: Follow up to Jan 29 meetingDear Scott,"
2,"Subject:Follow up to Jan 29 meetingShona,"
2,Subject:RE: new booksTwo people will be setting curves for basis.  Keith Holst for CA curves and Frank Ermis for Rockies and Southwest curves. I will be setting curves for balance of the month.
2,"Subject:new booksMike,"
2,Subject:Zach McCarrollCan you get together with Zach on Thursday or Friday and walk him through a simple book.  Take Jane Tholt's book and discuss Risk 101.
2,"Subject: Request for more calcsKam,"
2,Subject:RE: financial performignWho in gas is taking the ball to figure this out?
2,Subject:RE: financial performignAny thing that is not terminated per legal.
2,Subject:RE: financial performignI know what we consider performing on the physical side.  What is considered performing on the financial side?????
2,"Subject:financial performignHey guys,"
2,Subject:new script for moving booksPlease move the following book to book trades with Canada from NG-Price to Bankruptcy:FT-Cand-Termin
2,Subject:RE: Book requestsAnything new on this?
2,"Subject:RE: Book requestsTracey,"
2,Subject:FW: Book requestsCan you figure something out for these guys?
2,"Subject:FW: Book requestsJeff,"
2,Subject:FW: Book requestsHere you go!
2,Subject:FW: Book requestsHow about Canada?
